RANK,RARITY SCORE,Model
1,1793.941537,Model Z
2,941.102511,Model Z
3,875.3780709,Model Z
4,872.4602075,Model Z
5,837.4754422,Model W
6,719.4565598,Model Z
7,653.9607939,Model Z
8,647.0178723,Model Z
9,622.9669868,Model Z
10,564.0182969,Model Z
11,560.2887663,Model Z
12,552.6591637,Model Z
13,478.2438455,Model W
14,456.2684512,Model W
15,382.4132154,Model W
16,333.2441589,Model W
17,322.9719499,Model W
18,276.9109946,Model O
19,245.101954,Model W
20,240.1253053,Model W
21,236.9233163,Model O
22,233.4769507,Model O
23,229.4750962,Model W
24,226.8336726,Model W
25,225.0980903,Model W
26,221.6436686,Model W
27,217.9019585,Model W
28,215.8506412,Model O
29,215.8478275,Model W
30,215.0059674,Model W
31,214.843856,Model W
32,214.5397652,Model W
33,210.734063,Model W
34,210.5106566,Model W
35,207.7187919,Model W
36,207.4548996,Model W
37,200.1540937,Model O
38,198.0639873,Model W
39,197.2567148,Model W
40,197.2263111,Model W
41,196.690378,Model W
42,196.1381606,Model W
43,196.0705957,Model W
44,194.8128982,Model W
45,193.6463514,Model W
46,192.6234291,Model W
47,191.1421164,Model W
48,191.0214509,Model W
49,189.9022673,Model W
50,189.3952448,Model O
51,187.0937245,Model W
52,185.0635734,Model W
53,184.9509982,Model W
54,184.9294602,Model W
55,184.896733,Model W
56,180.4046644,Model O
57,177.9358945,Model W
58,177.6976358,Model E
59,175.9815549,Model W
60,174.8557327,Model W
61,166.0939587,Model O
62,160.6531606,Model M
63,157.9574573,Model W
64,151.5070644,Model W
65,150.2515851,Model W
66,147.8534704,Model O
67,146.3992651,Model M
68,146.0951869,Model O
69,145.7350862,Model E
70,145.4692873,Model O
71,145.3677823,Model W
72,145.2325513,Model W
73,145.0033756,Model W
74,142.8442821,Model O
75,142.697754,Model O
76,142.6455819,Model W
77,142.3066111,Model O
78,141.4771252,Model W
79,140.7472078,Model O
80,139.3258898,Model O
81,139.1119913,Model W
82,138.8887314,Model W
83,138.605315,Model M
84,137.8507295,Model O
85,137.6869531,Model W
86,137.1618729,Model E
87,136.4904103,Model W
88,135.37581,Model W
89,134.7392575,Model W
90,134.2851143,Model W
91,132.6959301,Model M
92,129.3993605,Model O
93,127.5205678,Model M
94,127.216778,Model O
95,125.1570197,Model O
96,124.9323711,Model E
97,124.7688573,Model O
98,124.731917,Model O
99,124.2018832,Model E
100,124.1645489,Model O
101,124.0786691,Model O
102,123.5454413,Model O
103,122.9738664,Model M
104,122.5290874,Model M
105,121.8277185,Model M
106,119.9797274,Model E
107,119.7624992,Model E
108,118.7040345,Model O
109,116.7905229,Model E
110,116.7080672,Model O
111,116.1254023,Model M
112,115.7598613,Model O
113,115.6312623,Model O
114,115.4317834,Model E
115,114.3367615,Model E
116,112.6409977,Model O
117,112.3445293,Model O
118,111.9542865,Model E
119,111.8326514,Model E
120,111.2695023,Model E
121,111.1970086,Model O
122,110.6094237,Model E
123,110.6010245,Model O
124,110.2741501,Model O
125,110.0547355,Model O
126,109.6118505,Model M
127,109.6077979,Model M
128,109.4267898,Model O
129,109.2811394,Model E
130,109.1758972,Model E
131,108.9408802,Model O
132,108.8311369,Model O
133,108.7067485,Model O
134,108.6949556,Model M
135,108.694846,Model E
136,107.8066698,Model O
137,107.6231219,Model M
138,107.4207035,Model O
139,106.9346586,Model O
140,106.8171953,Model E
141,106.74953,Model M
142,106.6004846,Model M
143,106.4681478,Model O
144,106.3645771,Model E
145,105.8506708,Model E
146,105.8131184,Model O
147,105.7803697,Model O
148,105.4183225,Model M
149,105.4165624,Model O
150,105.3905718,Model E
151,105.3614387,Model M
152,105.2527609,Model M
153,105.1030057,Model E
154,104.9636606,Model M
155,104.9602248,Model M
156,104.3258584,Model O
157,104.2770771,Model E
158,104.254809,Model E
159,104.2042158,Model O
160,104.2012797,Model O
161,104.1105399,Model E
162,104.0978118,Model E
163,104.0957876,Model M
164,104.0898809,Model M
165,103.8675783,Model M
166,103.559305,Model M
167,103.5361265,Model E
168,103.5187216,Model O
169,103.3121379,Model E
170,103.2953608,Model E
171,103.1334653,Model M
172,103.1276056,Model M
173,103.0920629,Model O
174,103.0851252,Model M
175,102.913176,Model O
176,102.7452231,Model E
177,102.7294198,Model M
178,102.6265035,Model M
179,102.5218571,Model O
180,102.4745389,Model O
181,102.4744993,Model O
182,102.3714937,Model M
183,102.1953865,Model E
184,102.1850917,Model E
185,102.1607393,Model M
186,102.087962,Model M
187,101.8899377,Model E
188,101.8764791,Model E
189,101.8338798,Model E
190,101.7598467,Model O
191,101.7150673,Model E
192,101.7135461,Model E
193,101.6068682,Model E
194,101.2861956,Model O
195,101.1106304,Model O
196,101.0790764,Model E
197,100.9198851,Model M
198,100.8309932,Model E
199,100.8028946,Model O
200,100.7497767,Model E
201,100.7316597,Model E
202,100.5977624,Model E
203,100.4200886,Model M
204,100.2440764,Model E
205,100.0627263,Model O
206,99.99243529,Model M
207,99.96503393,Model E
208,99.89420584,Model O
209,99.68009656,Model O
210,99.66390326,Model E
211,99.38505808,Model E
212,99.36730685,Model M
213,99.2664151,Model M
214,99.25083476,Model O
215,99.06319271,Model M
216,98.95034077,Model M
217,98.92801756,Model M
218,98.75096275,Model M
219,98.54344126,Model M
220,98.37985199,Model E
221,98.22542811,Model M
222,98.19389546,Model E
223,98.08701808,Model E
224,97.88504503,Model M
225,97.87788756,Model E
226,97.76391527,Model E
227,97.75745302,Model M
228,97.70227469,Model M
229,97.69395043,Model M
230,97.61194383,Model M
231,97.49897587,Model O
232,97.44057849,Model M
233,97.39564463,Model E
234,97.33186359,Model E
235,97.28054187,Model M
236,97.26184815,Model M
237,97.23854628,Model M
238,97.21676589,Model M
239,97.17251163,Model E
240,97.07479451,Model O
241,96.97505223,Model O
242,96.97431035,Model O
243,96.94209162,Model O
244,96.75764787,Model O
245,96.75361365,Model M
246,96.73990636,Model M
247,96.26006359,Model M
248,96.2447508,Model O
249,96.23158595,Model E
250,96.13652113,Model M
251,96.11924968,Model E
252,96.04910553,Model E
253,95.99509213,Model O
254,95.95552378,Model E
255,95.89496194,Model O
256,95.77270334,Model O
257,95.75075676,Model O
258,95.63108817,Model E
259,95.59866673,Model M
260,95.30851923,Model E
261,95.26300711,Model E
262,95.26300711,Model E
263,95.12081787,Model O
264,95.10799451,Model E
265,95.10289571,Model E
266,95.03658485,Model M
267,94.94208282,Model O
268,94.86166091,Model M
269,94.81199791,Model E
270,94.64353369,Model M
271,94.55001483,Model O
272,94.54308035,Model E
273,94.36388778,Model M
274,94.3236946,Model O
275,93.94622409,Model M
276,93.93367822,Model O
277,93.91335487,Model E
278,93.89392751,Model E
279,93.81555091,Model E
280,93.7255943,Model E
281,93.66918416,Model M
282,93.66754465,Model E
283,93.54734033,Model E
284,93.28700599,Model M
285,93.22618731,Model M
286,93.21250113,Model E
287,93.13864336,Model O
288,93.11929089,Model E
289,93.08947842,Model E
290,93.07991003,Model E
291,93.05104963,Model E
292,93.01084329,Model E
293,92.99495684,Model M
294,92.68621857,Model O
295,92.510208,Model E
296,92.47321556,Model M
297,92.32517102,Model M
298,92.32076823,Model M
299,92.30802652,Model O
300,92.1444528,Model M
301,92.08321443,Model M
302,91.88250695,Model O
303,91.85819249,Model E
304,91.78681058,Model E
305,91.76422056,Model M
306,91.71271257,Model O
307,91.47760806,Model O
308,91.43668996,Model M
309,91.40339525,Model M
310,91.39537917,Model M
311,91.32591251,Model E
312,91.31008996,Model M
313,91.27855654,Model E
314,91.19194935,Model M
315,91.17552934,Model O
316,91.12510903,Model M
317,91.08023055,Model O
318,91.02808394,Model E
319,91.00269356,Model M
320,90.98946344,Model M
321,90.93997863,Model M
322,90.90184117,Model O
323,90.82343391,Model M
324,90.81380663,Model M
325,90.71913932,Model M
326,90.67152411,Model O
327,90.63716197,Model M
328,90.62994085,Model E
329,90.59625931,Model M
330,90.21000002,Model E
331,90.17460735,Model O
332,89.92062311,Model E
333,89.88630063,Model O
334,89.80582088,Model E
335,89.79339208,Model O
336,89.76759797,Model M
337,89.76298071,Model M
338,89.70398286,Model O
339,89.70018671,Model M
340,89.62421829,Model M
341,89.48513692,Model E
342,89.45981899,Model M
343,89.42549643,Model O
344,89.2531957,Model O
345,89.17811272,Model E
346,89.03792821,Model M
347,89.01449921,Model O
348,88.91421403,Model E
349,88.82600545,Model M
350,88.73198054,Model M
351,88.69369475,Model M
352,88.6156492,Model M
353,88.4969269,Model M
354,88.47802292,Model M
355,88.3530015,Model O
356,88.28615682,Model M
357,88.28511524,Model E
358,88.25014073,Model M
359,88.24331183,Model E
360,88.19073123,Model M
361,88.14177541,Model M
362,88.10828138,Model E
363,88.06435834,Model E
364,88.05497642,Model E
365,87.92727833,Model E
366,87.88151589,Model M
367,87.83261335,Model M
368,87.81209897,Model E
369,87.79378115,Model M
370,87.76675551,Model O
371,87.69872183,Model E
372,87.67213626,Model E
373,87.57581103,Model E
374,87.54353376,Model E
375,87.45366097,Model E
376,87.4493482,Model M
377,87.43904595,Model E
378,87.30378323,Model M
379,87.28552715,Model O
380,87.21613634,Model O
381,87.17627356,Model M
382,87.13701761,Model M
383,87.06005167,Model M
384,87.01966963,Model E
385,86.93162998,Model E
386,86.90547478,Model O
387,86.77013081,Model M
388,86.71713998,Model E
389,86.43206863,Model M
390,86.29902843,Model M
391,86.07110807,Model M
392,86.07069647,Model E
393,85.83123176,Model M
394,85.70626332,Model M
