RANK,RARITY SCORE,Model
1,1384.03,Model Z
2,756.96,Model W
3,531.19,Model Z
4,465.47,Model Z
5,462.55,Model Z
6,397.73,Model W
7,375.75,Model W
8,309.55,Model Z
9,301.9,Model W
10,252.73,Model W
11,244.05,Model Z
12,242.45,Model W
13,237.11,Model Z
14,232.27,Model O
15,213.06,Model Z
16,192.28,Model O
17,188.83,Model O
18,171.21,Model O
19,164.58,Model W
20,159.61,Model W
21,155.51,Model O
22,154.11,Model Z
23,150.38,Model Z
24,148.96,Model W
25,146.81,Model E
26,146.32,Model W
27,144.75,Model O
28,144.58,Model W
29,142.75,Model Z
30,141.13,Model W
31,137.38,Model W
32,136.54,Model M
33,135.76,Model O
34,135.33,Model W
35,134.49,Model W
36,134.33,Model W
37,134.02,Model W
38,130.22,Model W
39,129.99,Model W
40,127.2,Model W
41,126.94,Model W
42,122.29,Model M
43,121.45,Model O
44,117.55,Model W
45,116.74,Model W
46,116.71,Model W
47,116.17,Model W
48,115.62,Model W
49,115.55,Model W
50,114.85,Model E
51,114.49,Model M
52,114.3,Model W
53,113.13,Model W
54,112.11,Model W
55,110.62,Model W
56,110.5,Model W
57,109.38,Model W
58,108.58,Model M
59,106.58,Model W
60,106.28,Model E
61,104.55,Model W
62,104.43,Model W
63,104.41,Model W
64,104.38,Model W
65,103.41,Model M
66,103.21,Model O
67,101.45,Model O
68,100.83,Model O
69,98.86,Model M
70,98.42,Model M
71,98.2,Model O
72,98.05,Model O
73,97.72,Model M
74,97.66,Model O
75,97.42,Model W
76,96.1,Model O
77,95.46,Model W
78,94.68,Model O
79,94.34,Model W
80,94.05,Model E
81,93.32,Model E
82,93.21,Model O
83,92.01,Model M
84,89.1,Model E
85,88.88,Model E
86,85.91,Model E
87,85.5,Model M
88,85.5,Model M
89,84.76,Model O
90,84.58,Model M
91,84.55,Model E
92,83.51,Model M
93,83.45,Model E
94,82.64,Model M
95,82.57,Model O
96,82.49,Model M
97,81.31,Model M
98,81.25,Model M
99,81.14,Model M
100,81.07,Model E
101,80.95,Model E
102,80.85,Model M
103,80.85,Model M
104,80.51,Model O
105,80.39,Model E
106,80.13,Model O
107,80.09,Model O
108,79.98,Model M
109,79.98,Model M
110,79.76,Model M
111,79.73,Model E
112,79.52,Model O
113,79.45,Model M
114,79.44,Model O
115,79.02,Model M
116,79.02,Model M
117,78.97,Model M
118,78.9,Model O
119,78.62,Model M
120,78.51,Model M
121,78.4,Model E
122,78.29,Model E
123,78.26,Model M
124,78.05,Model M
125,77.98,Model M
126,77.81,Model E
127,77.44,Model W
128,76.81,Model M
129,76.31,Model M
130,75.93,Model E
131,75.88,Model M
132,75.48,Model E
133,75.26,Model M
134,75.15,Model M
135,74.97,Model E
136,74.95,Model M
137,74.84,Model M
138,74.82,Model M
139,74.64,Model M
140,74.51,Model E
141,74.43,Model M
142,74.22,Model E
143,74.11,Model M
144,74.06,Model O
145,73.77,Model M
146,73.65,Model M
147,73.59,Model M
148,73.58,Model M
149,73.5,Model M
150,73.39,Model E
151,73.37,Model E
152,73.33,Model M
153,73.23,Model E
154,73.21,Model E
155,73.17,Model M
156,73.15,Model M
157,73.13,Model M
158,73.1,Model M
159,72.65,Model E
160,72.64,Model M
161,72.63,Model M
162,72.43,Model E
163,72.41,Model E
164,72.15,Model M
165,72.06,Model O
166,72.02,Model M
167,71.86,Model E
168,71.49,Model M
169,71.31,Model E
170,71.3,Model E
171,71.12,Model O
172,71.01,Model E
173,70.99,Model E
174,70.99,Model W
175,70.99,Model O
176,70.95,Model E
177,70.92,Model M
178,70.83,Model E
179,70.83,Model E
180,70.75,Model M
181,70.72,Model E
182,70.53,Model M
183,70.25,Model M
184,70.2,Model E
185,69.95,Model E
186,69.87,Model E
187,69.85,Model E
188,69.83,Model M
189,69.73,Model W
190,69.71,Model E
191,69.56,Model M
192,69.36,Model E
193,69.17,Model M
194,69.11,Model M
195,69.08,Model E
196,68.88,Model M
197,68.78,Model E
198,68.5,Model E
199,68.36,Model M
200,68.21,Model M
201,68.21,Model M
202,68.03,Model M
203,68,Model O
204,67.97,Model M
205,67.7,Model O
206,67.65,Model M
207,67.5,Model E
208,67.32,Model M
