RANK,RARITY SCORE,Model,MODEL RARITY,SUBTOTAL RARITY
1,1384.03,Model Z,45.55,1338.48
2,756.96,Model W,8.95,748.01
3,531.19,Model Z,45.55,485.64
4,465.47,Model Z,45.55,419.92
5,462.55,Model Z,45.55,417.01
6,397.73,Model W,8.95,388.78
7,375.75,Model W,8.95,366.79
8,309.55,Model Z,45.55,263.99
9,301.9,Model W,8.95,292.95
10,252.73,Model W,8.95,243.79
11,244.05,Model Z,45.55,198.51
12,242.45,Model W,8.95,233.51
13,237.11,Model Z,45.55,191.57
14,232.27,Model O,4.96,227.3
15,213.06,Model Z,45.55,167.52
16,192.28,Model O,4.96,187.33
17,188.83,Model O,4.96,183.89
18,171.21,Model O,4.96,166.24
19,164.58,Model W,8.95,155.64
20,159.61,Model W,8.95,150.67
21,155.51,Model O,4.96,150.55
22,154.11,Model Z,45.55,108.56
23,150.38,Model Z,45.55,104.85
24,148.96,Model W,8.95,140.01
25,146.81,Model E,3.43,143.39
26,146.32,Model W,8.95,137.37
27,144.75,Model O,4.96,139.8
28,144.58,Model W,8.95,135.63
29,142.75,Model Z,45.55,97.21
30,141.13,Model W,8.95,132.18
31,137.38,Model W,8.95,128.45
32,136.54,Model M,2.68,133.86
33,135.76,Model O,4.96,130.81
34,135.33,Model W,8.95,126.39
35,134.49,Model W,8.95,125.55
36,134.33,Model W,8.95,125.38
37,134.02,Model W,8.95,125.08
38,130.22,Model W,8.95,121.29
39,129.99,Model W,8.95,121.05
40,127.2,Model W,8.95,118.26
41,126.94,Model W,8.95,117.99
42,122.29,Model M,2.68,119.61
43,121.45,Model O,4.96,116.5
44,117.55,Model W,8.95,108.6
45,116.74,Model W,8.95,107.78
46,116.71,Model W,8.95,107.77
47,116.17,Model W,8.95,107.24
48,115.62,Model W,8.95,106.69
49,115.55,Model W,8.95,106.61
50,114.85,Model E,3.43,111.44
51,114.49,Model M,2.68,111.82
52,114.3,Model W,8.95,105.36
53,113.13,Model W,8.95,104.17
54,112.11,Model W,8.95,103.16
55,110.62,Model W,8.95,101.69
56,110.5,Model W,8.95,101.56
57,109.38,Model W,8.95,100.44
58,108.58,Model M,2.68,105.9
59,106.58,Model W,8.95,97.65
60,106.28,Model E,3.43,102.85
61,104.55,Model W,8.95,95.6
62,104.43,Model W,8.95,95.49
63,104.41,Model W,8.95,95.46
64,104.38,Model W,8.95,95.44
65,103.41,Model M,2.68,100.73
66,103.21,Model O,4.96,98.25
67,101.45,Model O,4.96,96.49
68,100.83,Model O,4.96,95.86
69,98.86,Model M,2.68,96.19
70,98.42,Model M,2.68,95.74
71,98.2,Model O,4.96,93.24
72,98.05,Model O,4.96,93.11
73,97.72,Model M,2.68,95.04
74,97.66,Model O,4.96,92.7
75,97.42,Model W,8.95,88.47
76,96.1,Model O,4.96,91.15
77,95.46,Model W,8.95,86.52
78,94.68,Model O,4.96,89.72
79,94.34,Model W,8.95,85.41
80,94.05,Model E,3.43,90.62
81,93.32,Model E,3.43,89.88
82,93.21,Model O,4.96,88.25
83,92.01,Model M,2.68,89.34
84,89.1,Model E,3.43,85.68
85,88.88,Model E,3.43,85.46
86,85.91,Model E,3.43,82.5
87,85.5,Model M,2.68,82.83
88,85.5,Model M,2.68,82.81
89,84.76,Model O,4.96,79.8
90,84.58,Model M,2.68,81.92
91,84.55,Model E,3.43,81.14
92,83.51,Model M,2.68,80.84
93,83.45,Model E,3.43,80.03
94,82.64,Model M,2.68,79.96
95,82.57,Model O,4.96,77.62
96,82.49,Model M,2.68,79.83
97,81.31,Model M,2.68,78.63
98,81.25,Model M,2.68,78.57
99,81.14,Model M,2.68,78.47
100,81.07,Model E,3.43,77.65
101,80.95,Model E,3.43,77.53
102,80.85,Model M,2.68,78.18
103,80.85,Model M,2.68,78.18
104,80.51,Model O,4.96,75.56
105,80.39,Model E,3.43,76.96
106,80.13,Model O,4.96,75.17
107,80.09,Model O,4.96,75.13
108,79.98,Model M,2.68,77.31
109,79.98,Model M,2.68,77.3
110,79.76,Model M,2.68,77.09
111,79.73,Model E,3.43,76.29
112,79.52,Model O,4.96,74.57
113,79.45,Model M,2.68,76.78
114,79.44,Model O,4.96,74.47
115,79.02,Model M,2.68,76.34
116,79.02,Model M,2.68,76.33
117,78.97,Model M,2.68,76.29
118,78.9,Model O,4.96,73.94
119,78.62,Model M,2.68,75.94
120,78.51,Model M,2.68,75.84
121,78.4,Model E,3.43,74.97
122,78.29,Model E,3.43,74.86
123,78.26,Model M,2.68,75.58
124,78.05,Model M,2.68,75.37
125,77.98,Model M,2.68,75.3
126,77.81,Model E,3.43,74.38
127,77.44,Model W,8.95,68.49
128,76.81,Model M,2.68,74.14
129,76.31,Model M,2.68,73.63
130,75.93,Model E,3.43,72.51
131,75.88,Model M,2.68,73.19
132,75.48,Model E,3.43,72.06
133,75.26,Model M,2.68,72.58
134,75.15,Model M,2.68,72.48
135,74.97,Model E,3.43,71.54
136,74.95,Model M,2.68,72.28
137,74.84,Model M,2.68,72.16
138,74.82,Model M,2.68,72.13
139,74.64,Model M,2.68,71.97
140,74.51,Model E,3.43,71.08
141,74.43,Model M,2.68,71.76
142,74.22,Model E,3.43,70.79
143,74.11,Model M,2.68,71.43
144,74.06,Model O,4.96,69.11
145,73.77,Model M,2.68,71.1
146,73.65,Model M,2.68,70.96
147,73.59,Model M,2.68,70.92
148,73.58,Model M,2.68,70.91
149,73.5,Model M,2.68,70.82
150,73.39,Model E,3.43,69.97
151,73.37,Model E,3.43,69.94
152,73.33,Model M,2.68,70.65
153,73.23,Model E,3.43,69.78
154,73.21,Model E,3.43,69.79
155,73.17,Model M,2.68,70.49
156,73.15,Model M,2.68,70.47
157,73.13,Model M,2.68,70.45
158,73.1,Model M,2.68,70.43
159,72.65,Model E,3.43,69.23
160,72.64,Model M,2.68,69.96
161,72.63,Model M,2.68,69.95
162,72.43,Model E,3.43,69.02
163,72.41,Model E,3.43,68.98
164,72.15,Model M,2.68,69.47
165,72.06,Model O,4.96,67.1
166,72.02,Model M,2.68,69.34
167,71.86,Model E,3.43,68.45
168,71.49,Model M,2.68,68.81
169,71.31,Model E,3.43,67.88
170,71.3,Model E,3.43,67.87
171,71.12,Model O,4.96,66.15
172,71.01,Model E,3.43,67.57
173,70.99,Model E,3.43,67.57
174,70.99,Model W,8.95,62.04
175,70.99,Model O,4.96,66.02
176,70.95,Model E,3.43,67.52
177,70.92,Model M,2.68,68.24
178,70.83,Model E,3.43,67.4
179,70.83,Model E,3.43,67.39
180,70.75,Model M,2.68,68.06
181,70.72,Model E,3.43,67.29
182,70.53,Model M,2.68,67.86
183,70.25,Model M,2.68,67.56
184,70.2,Model E,3.43,66.78
185,69.95,Model E,3.43,66.52
186,69.87,Model E,3.43,66.43
187,69.85,Model E,3.43,66.42
188,69.83,Model M,2.68,67.16
189,69.73,Model W,8.95,60.79
190,69.71,Model E,3.43,66.28
191,69.56,Model M,2.68,66.89
192,69.36,Model E,3.43,65.94
193,69.17,Model M,2.68,66.5
194,69.11,Model M,2.68,66.44
195,69.08,Model E,3.43,65.66
196,68.88,Model M,2.68,66.2
197,68.78,Model E,3.43,65.34
198,68.5,Model E,3.43,65.09
199,68.36,Model M,2.68,65.68
200,68.21,Model M,2.68,65.54
201,68.21,Model M,2.68,65.54
202,68.03,Model M,2.68,65.35
203,68,Model O,4.96,63.04
204,67.97,Model M,2.68,65.28
205,67.7,Model O,4.96,62.73
206,67.65,Model M,2.68,64.98
207,67.5,Model E,3.43,64.07
208,67.32,Model M,2.68,64.65
209,67.31,Model E,3.43,63.88
210,67.29,Model M,2.68,64.62
211,67.28,Model M,2.68,64.61
212,67.2,Model E,3.43,63.77
213,67.2,Model M,2.68,64.53
214,67.08,Model M,2.68,64.4
215,67.01,Model M,2.68,64.35
216,66.99,Model E,3.43,63.57
217,66.89,Model M,2.68,64.21
218,66.88,Model E,3.43,63.46
219,66.88,Model M,2.68,64.2
220,66.83,Model M,2.68,64.15
221,66.71,Model M,2.68,64.03
222,66.7,Model M,2.68,64.04
223,66.61,Model M,2.68,63.93
224,66.55,Model O,4.96,61.6
225,66.52,Model M,2.68,63.85
226,66.51,Model E,3.43,63.09
227,66.48,Model M,2.68,63.8
228,66.45,Model E,3.43,63.02
229,66.29,Model E,3.43,62.87
230,65.96,Model O,4.96,60.98
231,65.66,Model M,2.68,62.98
232,65.65,Model M,2.68,62.97
233,65.63,Model O,4.96,60.66
234,65.59,Model M,2.68,62.91
235,65.51,Model M,2.68,62.84
236,65.41,Model O,4.96,60.45
237,65.35,Model E,3.43,61.92
238,65.35,Model M,2.68,62.68
239,65.24,Model E,3.43,61.8
240,65.17,Model E,3.43,61.73
241,65.07,Model E,3.43,61.63
242,64.93,Model M,2.68,62.26
243,64.85,Model W,8.95,55.9
244,64.78,Model O,4.96,59.82
245,64.75,Model E,3.43,61.32
246,64.71,Model W,8.95,55.77
247,64.71,Model M,2.68,62.03
248,64.62,Model M,2.68,61.95
249,64.58,Model M,2.68,61.91
250,64.5,Model M,2.68,61.82
251,64.49,Model W,8.95,55.53
252,64.42,Model E,3.43,61.01
253,64.38,Model M,2.68,61.71
254,64.38,Model E,3.43,60.95
255,64.38,Model E,3.43,60.95
256,64.37,Model M,2.68,61.69
257,64.3,Model O,4.96,59.35
258,64.22,Model E,3.43,60.79
259,64.22,Model E,3.43,60.79
260,64.19,Model O,4.96,59.22
261,64.17,Model M,2.68,61.51
262,64.14,Model M,2.68,61.46
263,64.08,Model M,2.68,61.41
264,64.06,Model O,4.96,59.1
265,64.03,Model M,2.68,61.35
266,63.93,Model E,3.43,60.49
267,63.77,Model M,2.68,61.09
268,63.72,Model M,2.68,61.04
269,63.68,Model M,2.68,60.99
270,63.66,Model E,3.43,60.23
271,63.34,Model M,2.68,60.66
272,63.19,Model M,2.68,60.52
273,63.16,Model O,4.96,58.2
274,63.06,Model M,2.68,60.37
275,63.03,Model E,3.43,59.59
276,63.02,Model M,2.68,60.35
277,63.01,Model E,3.43,59.57
278,62.95,Model M,2.68,60.27
279,62.93,Model E,3.43,59.5
280,62.84,Model E,3.43,59.41
281,62.78,Model E,3.43,59.35
282,62.78,Model O,4.96,57.82
283,62.66,Model E,3.43,59.23
284,62.66,Model M,2.68,59.99
285,62.33,Model E,3.43,58.9
286,62.32,Model M,2.68,59.64
287,62.29,Model O,4.96,57.32
288,62.24,Model E,3.43,58.79
289,62.21,Model E,3.43,58.77
